city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),bed_type,star,number_of_ratings
"Warsaw, Poland",2023-10-03,Apartment in Wola,Loft in historic building,241,241,Oct 3 - 8,"1,203",1 double bed,4.83,24
"Warsaw, Poland",2023-10-03,Apartment in Wola,Okopowa by Homeprime,253,371,Oct 3 - 8,"1,265",2 beds,4.73,15
"Warsaw, Poland",2023-10-03,Apartment in Wola,Kasprzaka 29 (H) Perfect Apart,216,216,Oct 4 - 9,"1,076",1 bed,5.0,6
"Warsaw, Poland",2023-10-03,Condo in Ursynow,Spacious flat next to Metro Kabaty.,219,252,Oct 4 - 9,"1,093",2 beds,4.56,32
"Warsaw, Poland",2023-10-03,Apartment in Wola,Fryderyk Apartment 'Anielewicza',195,316,Oct 4 - 9,974,1 bed,4.19,32
"Warsaw, Poland",2023-10-03,Apartment in Praga Poludnie,Praga flat nice ul.Szaserow 115,117,231,Oct 5 - 10,581,1 bed,3.75,4
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,BUTIQ Studio Metro/Centre/Old Town/Saski Park,311,311,Oct 8 - 13,"1,555",1 double bed,4.86,215
"Warsaw, Poland",2023-10-03,Apartment in Praga Polnoc,A studio with a balcony in a beautiful townhouse in Prague,212,251,Oct 4 - 9,"1,056",1 bed,4.75,8
"Warsaw, Poland",2023-10-03,Apartment in Ochota,Green Ochota Apartments by Rentujemy,244,287,Oct 3 - 8,"1,216",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,GREEN 4 Rondo metro WiFi Netflix,305,305,Oct 3 - 8,"1,522",2 beds,4.85,40
"Warsaw, Poland",2023-10-03,Apartment in Srodmiescia,Roomy apartment in the Center of Warsaw,231,263,Oct 3 - 8,"1,154",1 bed,4.79,153
"Warsaw, Poland",2023-10-03,Apartment in Wola,Apartament Wola Goleszowska 198 - air condition,266,296,Oct 4 - 9,"1,326",2 beds,4.88,138
