city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Slow_Life Apartment Next to Metro Station,257,322,Aug 30 - Sep 4,"1,283",1 bed,4.91,133
"Warsaw, Poland",2023-08-19,Apartment in Wola,Golden Oasis Studio @ City Center,196,285,Aug 19 - 24,977,1 bed,5.0,8
"Warsaw, Poland",2023-08-19,Room in Praga Poludnie,"Fryderyk Room ""Stany 2""",94,305,Aug 19 - 24,469,1 bed,5.0,4
"Warsaw, Poland",2023-08-19,Apartment in Ochota,Cozy Attic,135,162,Aug 28 - Sep 2,671,1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia, Charming studio  8 min from Central Station,279,354,Aug 19 - 24,"1,393",1 king bed,4.89,171
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Cute apartment & beautiful view,242,286,Aug 20 - 25,"1,209",1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Wola,Holiday 5 AirCon Wi-Fi 80'TV Netflix HBO Disney+,270,325,Aug 27 - Sep 1,"1,346",2 beds,New,New
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Comfortable room in center,128,144,Aug 19 - 24,640,2 beds,4.83,30
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - Room NW9 - 5,125,125,Aug 19 - 24,623,2 beds,4.29,38
"Warsaw, Poland",2023-08-19,Apartment in Wola,Bliska Wola Apartments No2 by Rentujemy,276,276,Aug 19 - 24,"1,376",1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,'Claudine' Fryderyk Apartment,167,262,Aug 20 - 25,833,1 bed,4.66,154
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Zen Studio / Plac Zbawiciela,316,402,Aug 27 - Sep 1,"1,580",1 king bed,4.89,350
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic Apartments - Room - K1,124,124,Aug 19 - 24,616,1 king bed,4.71,75
"Warsaw, Poland",2023-08-19,Apartment in Praga Poludnie,Zielony przystanek w Warszawie 2,233,255,Aug 27 - Sep 1,"1,162",1 bed,5.0,12
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,'Natalie' Fryderyk Apartment,162,280,Aug 20 - 25,810,1 bed,4.48,167
"Warsaw, Poland",2023-08-19,Room in Ursynow,Cozy subway room near the airport.,95,95,Sep 3 - 8,474,1 bed,4.53,101
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Nowy Swiat Black&White Studio,293,468,Aug 19 - 24,"1,465",2 beds,4.83,300
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Cute apartment on Zbawiciela Square. PREMIUM.,306,356,Aug 19 - 24,"1,526",2 beds,4.84,44
"Warsaw, Poland",2023-08-19,Hostel in Wola,#2 Private Room Wi-Fi Coffee @ Cool Film Studio  ,168,203,Aug 31 - Sep 5,840,2 single beds,4.9,67
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,'Annie' Fryderyk Apartment,165,442,Aug 20 - 25,822,1 bed,4.58,64
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Fryderyk Apartment 'Factory',226,350,Aug 27 - Sep 1,"1,127",2 beds,4.72,90
"Warsaw, Poland",2023-08-19,Room in Praga Poludnie,"Fryderyk Room ""Stany 6""",94,94,Aug 19 - 24,469,2 beds,New,New
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - Room NW9 - 4,126,126,Aug 19 - 24,629,2 beds,4.24,34
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - Room KP69 - 4,139,139,Aug 19 - 24,694,2 beds,4.52,83
"Warsaw, Poland",2023-08-19,Apartment in Wola,Perfect view next to Browary Warszawskie,223,272,Aug 19 - 24,"1,111",2 beds,4.33,3
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Best place for Home office,110,150,Aug 19 - 24,547,2 beds,3.67,6
"Warsaw, Poland",2023-08-19,Room in Bielany,Peace &amp; Quiet,112,112,Sep 13 - 18,557,2 beds,4.96,23
"Warsaw, Poland",2023-08-19,Apartment in Bialoleka,Zielony Tarchomin,191,191,Aug 19 - 24,951,1 double bed,4.66,92
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Small studio in quiet center,137,175,Aug 19 - 24,684,1 bed,4.17,6
"Warsaw, Poland",2023-08-19,Hostel in Wola,#3 Cozy Rondo Private Room ,132,186,Aug 20 - 25,656,2 beds,4.91,66
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - Room KP69 - 2,163,163,Aug 19 - 24,812,2 beds,4.49,77
"Warsaw, Poland",2023-08-19,Apartment in Targowek,Baza,200,200,Sep 17 - 22,998,2 beds,4.78,18
