2023-10-03 20:05:59 INFO     root config_logging Logger configured. Logging level: INFO
2023-10-03 20:06:07 INFO     root city_data Extracting html data from Warsaw, Poland page 1
2023-10-03 20:06:09 INFO     root city_data Extracting html data from Warsaw, Poland page 2
2023-10-03 20:06:11 INFO     root city_data Extracting html data from Warsaw, Poland page 3
2023-10-03 20:06:12 INFO     root city_data Extracting html data from Warsaw, Poland page 4
2023-10-03 20:06:14 INFO     root city_data Extracting html data from Warsaw, Poland page 5
2023-10-03 20:06:15 INFO     root city_data Extracting html data from Warsaw, Poland page 6
2023-10-03 20:06:17 INFO     root city_data Extracting html data from Warsaw, Poland page 7
2023-10-03 20:06:19 INFO     root city_data Extracting html data from Warsaw, Poland page 8
2023-10-03 20:06:21 INFO     root city_data Extracting html data from Warsaw, Poland page 9
2023-10-03 20:06:22 INFO     root city_data Extracting html data from Warsaw, Poland page 10
2023-10-03 20:06:24 INFO     root city_data Extracting html data from Warsaw, Poland page 11
2023-10-03 20:06:26 INFO     root city_data Extracting html data from Warsaw, Poland page 12
2023-10-03 20:06:28 INFO     root city_data Extracting html data from Warsaw, Poland page 13
2023-10-03 20:06:29 INFO     root city_data Extracting html data from Warsaw, Poland page 14
2023-10-03 20:06:32 INFO     root city_data Extracting html data from Warsaw, Poland page 15
2023-10-03 20:06:43 WARNING  root city_data Last page reached for Warsaw, Poland.
2023-10-03 20:06:45 INFO     root city_data Extracting html data from Wroclaw, Poland page 1
2023-10-03 20:06:47 INFO     root city_data Extracting html data from Wroclaw, Poland page 2
2023-10-03 20:06:49 INFO     root city_data Extracting html data from Wroclaw, Poland page 3
2023-10-03 20:06:50 INFO     root city_data Extracting html data from Wroclaw, Poland page 4
2023-10-03 20:06:52 INFO     root city_data Extracting html data from Wroclaw, Poland page 5
2023-10-03 20:06:54 INFO     root city_data Extracting html data from Wroclaw, Poland page 6
2023-10-03 20:06:55 INFO     root city_data Extracting html data from Wroclaw, Poland page 7
2023-10-03 20:06:57 INFO     root city_data Extracting html data from Wroclaw, Poland page 8
2023-10-03 20:06:59 INFO     root city_data Extracting html data from Wroclaw, Poland page 9
2023-10-03 20:07:01 INFO     root city_data Extracting html data from Wroclaw, Poland page 10
2023-10-03 20:07:02 INFO     root city_data Extracting html data from Wroclaw, Poland page 11
2023-10-03 20:07:04 INFO     root city_data Extracting html data from Wroclaw, Poland page 12
2023-10-03 20:07:06 INFO     root city_data Extracting html data from Wroclaw, Poland page 13
2023-10-03 20:07:07 INFO     root city_data Extracting html data from Wroclaw, Poland page 14
2023-10-03 20:07:09 INFO     root city_data Extracting html data from Wroclaw, Poland page 15
2023-10-03 20:07:20 WARNING  root city_data Last page reached for Wroclaw, Poland.
2023-10-03 20:07:23 INFO     root city_data Extracting html data from Katowice, Poland page 1
2023-10-03 20:07:25 INFO     root city_data Extracting html data from Katowice, Poland page 2
2023-10-03 20:07:27 INFO     root city_data Extracting html data from Katowice, Poland page 3
2023-10-03 20:07:28 INFO     root city_data Extracting html data from Katowice, Poland page 4
2023-10-03 20:07:30 INFO     root city_data Extracting html data from Katowice, Poland page 5
2023-10-03 20:07:32 INFO     root city_data Extracting html data from Katowice, Poland page 6
2023-10-03 20:07:34 INFO     root city_data Extracting html data from Katowice, Poland page 7
2023-10-03 20:07:35 INFO     root city_data Extracting html data from Katowice, Poland page 8
2023-10-03 20:07:37 INFO     root city_data Extracting html data from Katowice, Poland page 9
2023-10-03 20:07:39 INFO     root city_data Extracting html data from Katowice, Poland page 10
